fips,obesity_pct,poverty_pct,median_income,no_hs_diploma
08033,27.1,0.161,57701,0.038129130700000013
08035,25.3,0.031,144807,0.020111050899999983
12093,44.1,0.244,54297,0.20013258430000003
06107,35.3,0.232,71368,0.25631795580000005
12065,34.9,0.433,59967,0.12245642850000005
13125,37.6,0.203,54862,0.16132315519999996
12061,27.5,0.172,73686,0.08012299069999995
13045,34.2,0.18,71083,0.15253933500000005
13051,33,0.218,70556,0.08762354189999999
06115,30.8,0.2,71493,0.15338698100000003
13023,38.3,0.268,58877,0.12091179389999995
13149,35.6,0.241,57670,0.1408521303
06091,32.4,0.148,67675,0.08608058610000002
13097,36.3,0.179,79672,0.08599518920000004
12013,40,0.267,47523,0.18198270660000004
08103,26.7,0.114,72088,0.0675115207
12041,34.5,0.192,56884,0.1446067245
13109,42.4,0.346,50831,0.17603423679999997
12037,32.3,0.274,55816,0.16930683079999997
13145,33,0.107,91977,0.07074715409999999
12031,34.3,0.185,69455,0.08995269750000001
12021,26.6,0.157,91402,0.10018382049999996
12005,33.4,0.156,70859,0.09233590420000004
08043,30.6,0.203,61015,0.09438430310000001
13107,42.8,0.343,46017,0.20615324319999995
06101,29.5,0.192,71968,0.21165042590000005
13095,41.9,0.369,45863,0.1464419134
13077,35.2,0.123,93326,0.08142161640000001
08073,29.8,0.172,58034,0.1192748092
09150,32.4,0.105,88129,0.07894885080000003
13161,40.4,0.276,47635,0.21979621540000005
12075,33.8,0.248,53214,0.12235589430000005
13063,44.8,0.266,57974,0.15198429540000002
13113,30.7,0.081,108579,0.05024949980000004
08029,26.7,0.179,57075,0.08995120270000001
12107,33.3,0.28,51585,0.17786442150000004
12011,30.6,0.159,74367,0.09721509360000002
12079,37.9,0.275,52713,0.19417973899999996
12075,33.8,0.248,53214,0.12235589430000005
08045,24,0.105,94696,0.11555898519999996
12071,30.4,0.173,71811,0.09620298309999997
12019,34.5,0.105,82249,0.06672429140000002
13083,35.1,0.164,58644,0.11583924349999997
12111,31.9,0.122,66876,0.11373740720000003
08025,31.7,0.318,46979,0.17063398539999997
13013,34.8,0.155,72075,0.12379847239999997
06075,17.1,0.108,125456,0.11202442180000005
13143,36.2,0.232,59384,0.15429003880000003
13115,37.7,0.264,61058,0.15080280450000005
13065,41.9,0.284,45718,0.18811668810000004
08103,26.7,0.114,72088,0.0675115207
08111,25.8,0.2,102689,0
12115,29.2,0.134,78218,0.056307729799999984
08003,30.3,0.26,50056,0.10899809829999996
12127,33.2,0.193,66111,0.08059866410000005
13029,33.5,0.094,97746,0.07159644399999998
08105,27.9,0.245,55574,0.1065088757
12131,30.1,0.139,82259,0.08592093560000003
12119,29.5,0.252,79334,0.06834445219999996
10001,43.9,0.162,72498,0.09804787209999999
12123,40.9,0.253,50556,0.13788256340000005
08121,26.6,0.179,54255,0.10345838220000003
13043,42.3,0.314,49332,0.20934707900000005
13155,40.4,0.299,52918,0.1636363636
06079,26.1,0.118,89809,0.08229907530000002
12053,36.1,0.157,64092,0.09943597930000003
12069,35.3,0.129,70784,0.09075035389999997
12057,31.6,0.147,76528,0.10416792119999996
13163,41.3,0.327,45829,0.18598689830000004
12103,31.5,0.153,70684,0.07439595850000003
08023,31.6,0.372,38731,0.10349962769999999
13109,42.6,0.346,50831,0.17603423679999997
08031,21.6,0.141,93572,0.08644249169999996
09140,32.5,0.171,81392,0.09666953010000001
12086,29.5,0.171,72030,0.16944234800000002
13103,37.9,0.104,83900,0.09246474569999996
08069,23.5,0.077,88519,0.03357546280000001
06113,27.9,0.116,91192,0.11588206850000005
13001,40.7,0.335,51054,0.18969307170000005
08097,20.3,0.053,109268,0.03000671789999998
06081,22,0.071,151004,0.09695058300000003
12129,38.9,0.142,72916,0.1251492716
08057,29.5,0.157,96811,0.1555352242
06093,32,0.216,58975,0.08927073299999999
06095,31.3,0.118,99117,0.11080039490000004
09130,29.8,0.076,99807,0.04772352840000005
06081,22.3,0.071,151004,0.09695058300000003
12113,32.1,0.086,87581,0.07365532379999995
13129,35.3,0.165,64795,0.2051462813
12101,31.8,0.123,72065,0.08785347529999998
09190,24.7,0.091,121285,0.08317609560000006
08014,22.3,0.051,113162,0.03923333709999999
08061,27.1,0.182,55523,0.09100529099999999
13151,45.2,0.16,80908,0.07559097380000002
08053,23.5,0.173,71541,0
08041,28.5,0.088,88794,0.048943375400000044
08011,33.7,0.274,44960,0.18813481070000004
13117,27.7,0.053,136347,0.059404092500000005
12097,39.8,0.142,76416,0.11395694
10003,33.4,0.146,86798,0.07408736319999998
13057,33.1,0.074,104220,0.07857215029999998
13069,39.3,0.303,49804,0.20354844319999998
13153,39.5,0.178,75266,0.06797830520000003
12007,34.9,0.22,59468,0.17311397660000005
12109,29.2,0.058,106281,0.04866306840000001
12033,35.8,0.21,70838,0.09506195250000005
12015,30.6,0.135,71381,0.07753842740000005
12023,39.7,0.218,58949,0.14511226389999998
08081,28.3,0.139,73875,0.08492545549999997
13107,42.7,0.343,46017,0.20615324319999995
13137,32.2,0.169,71753,0.17674563590000003
13149,35.3,0.241,57670,0.1408521303
12041,34.7,0.192,56884,0.1446067245
06095,31.2,0.118,99117,0.11080039490000004
